racename,latitude,longitude,city,state,region,date,type_mara,type_half,type_relay,type_10k,type_5k,url,source,name,desc,color,precision
Run Crandic,41.661256,-91.529911,Iowa City,IA,midwest,April,x,x,,,x,http://runcrandic.com/,https://runningintheusa.com/classic/list/ia/upcoming/marathon,"Iowa City, IA","Iowa City, Johnson County, IA, US",,city/town
Main to Main,43.284081,-92.811162,Osage,IA,midwest,August,x,x,,x,,https://www.cedarrivercomplex.com/main-to-main-marathon,https://runningintheusa.com/classic/list/ia/upcoming/marathon,"Osage, IA","Osage, Mitchell County, IA, US",,city/town
University od Okoboji,43.386359,-95.148312,Okoboji,IA,midwest,July,x,x,,x,,https://www.allsportcentral.com/eventInfo.cfm?eventID=66841,http://www.findmymarathon.com/calendar-state.php?state=Iowa,"Okoboji, IA","Okoboji, Dickinson County, IA, US",,city/town
Run4Troops,42.48444,-91.122914,Dyersville,IA,midwest,June,x,,x,,,http://www.run4troops.com/,https://runningintheusa.com/classic/list/ia/upcoming/marathon,"Dyersville, IA","Dyersville, Dubuque County, IA, US",,city/town
Des Moines,41.591064,-93.603715,Des Moines,IA,midwest,October,x,x,x,,x,https://www.desmoinesmarathon.com,http://www.findmymarathon.com/calendar-state.php?state=Iowa,"Des Moines, IA","Des Moines, Polk County, IA, US",,city/town
Spring chance BQ.2,41.887528,-88.305352,Geneva,IL,midwest,April,x,,,,,http://www.bq2races.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Geneva, IL","Geneva, Kane County, IL, US",,city/town
Illinois,46.441406,-72.343941,Champlain,IL,midwest,April,x,x,x,x,x,http://illinoismarathon.com/,https://runningintheusa.com/classic/list/il/upcoming/marathon,"Champlain, IL","Champlain, Les Chenaux, QC, CA",,city/town
Straved Rock Country,41.351663,-88.845436,Ottawa,IL,midwest,May,x,x,,,x,https://www.runsrc.com/,http://www.findmymarathon.com/calendar-state.php?state=Illinois,"Ottawa, IL","Ottawa, LaSalle County, IL, US",,city/town
Chicagoland Spring,42.033361,-88.083406,Schaumburg,IL,midwest,May,x,x,,,,https://allcommunityevents.com/chicagolandspringmarathon,http://www.findmymarathon.com/calendar-state.php?state=Illinois,"Schaumburg, IL","Schaumburg, Cook County, IL, US",,city/town
Rockford,42.271395,-89.093966,Rockford,IL,midwest,May,x,x,,x,,https://www.chicagoevents.com/events/rockfordmarathon/,http://www.findmymarathon.com/calendar-state.php?state=Illinois,"Rockford, IL","Rockford, Winnebago County, IL, US",,city/town
